Server_1,Server_2,Server_3,Server_4,Server_5, Server_6,Server_7,Server_8,Server_9,Server_10,Server_11,Server_12,Server_13,Server_14,Server_15,Server_16,Server_17,Server_18,Server_19,Server_20,Server_21,Server_22,Server_23,Server_24,Server_25
527,1128,238,28,405,35,102,113,362,293,518,1999,221,122,518,479,132,323,393,568,119,74,3808,375,2243
267,1091,87,26,398,33,102,99,82,310,2722,2119,220,124,570,509,141,311,440,840,140,56,538,2079,2251
267,1107,247,24,392,33,104,99,85,338,517,2065,222,133,475,481,129,343,1147,734,107,61,534,222,2244
271,1086,85,27,396,38,102,134,87,306,517,1965,234,123,481,495,131,308,1184,556,109,56,4257,233,2244
301,1089,86,27,395,33,102,127,89,333,515,2225,228,123,461,480,132,307,2119,600,101,85,2366,310,2245
332,1219,86,23,394,32,106,232,82,391,519,2134,221,124,462,497,164,307,1914,668,106,61,542,223,2246
269,1168,88,26,393,39,105,124,89,380,518,2142,220,124,473,486,131,351,768,568,159,105,1527,351,2233
283,1088,87,25,414,33,106,153,82,326,946,1964,289,123,492,516,131,333,1104,795,112,74,2599,263,2239
260,5002,87,29,402,36,108,120,218,388,521,2038,217,125,478,515,131,396,857,603,109,80,545,536,2253
720,1093,87,103,397,33,103,581,86,497,517,4616,220,125,510,478,129,342,934,817,103,66,1570,236,2241
282,1093,86,23,401,33,104,114,98,294,518,2020,330,122,514,483,130,307,1047,585,101,63,537,632,2242
1297,2042,1237,1043,1044,782,681,2264,954,696,685,2185,230,170,505,485,145,309,1150,1053,127,59,4730,590,2236
581,1151,85,25,393,33,103,137,143,553,528,1957,218,131,466,495,130,307,2516,1219,109,1547,1508,215,2234
285,1072,87,24,396,36,104,162,88,775,699,1986,220,124,468,479,142,332,288,671,105,75,576,230,2240
619,1123,100,28,397,32,104,99,83,390,517,1907,218,132,546,484,131,310,281,560,169,84,815,239,2237
322,1079,94,28,407,32,106,113,400,370,519,1969,220,122,527,516,131,318,168,581,103,100,718,509,2242
279,1104,86,30,398,32,103,167,98,445,526,3535,243,127,525,524,134,318,277,608,121,74,1324,461,2246
835,1102,88,24,405,35,102,2208,91,309,518,2038,219,130,599,482,132,308,270,567,95,67,1154,385,2242
288,1242,86,24,395,35,105,135,626,730,519,2015,220,122,481,495,130,308,174,577,165,155,2434,876,2243
323,1123,87,25,400,34,111,116,82,600,700,2111,221,130,484,490,138,306,354,702,92,247,79203,239,2251
554,1071,87,25,392,34,105,178,83,312,518,1991,220,127,593,499,133,336,288,696,130,95,4974,613,2237
769,1113,97,27,401,37,375,98,84,317,518,1987,296,123,649,505,130,329,282,783,94,214,1064,257,2256
674,1110,92,23,403,32,102,132,87,340,517,1931,274,126,811,489,132,315,279,596,93,91,1532,290,2235
1235,1077,87,26,395,169,103,4186,83,490,557,2023,220,124,851,478,130,367,302,624,108,280,1950,226,2237
525,1100,84,26,398,34,101,134,83,386,517,2069,218,122,602,493,130,331,907,711,103,259,2391,664,2240
655,1125,85,25,396,35,106,3362,177,351,822,1912,222,330,830,486,145,330,200,614,92,78,5720,4941,2243
924,1232,111,25,399,35,106,114,87,365,524,1988,221,123,1041,476,129,312,615,557,91,96,954,286,2238
329,1076,86,36,393,34,105,133,192,504,519,1901,220,130,916,480,130,1024,358,808,96,359,1838,254,2235
277,1114,92,24,394,33,107,204,117,341,518,1963,220,124,1321,486,129,310,280,625,103,103,4860,252,2242
261,1064,261,27,407,33,102,4659,213,336,516,2144,220,123,1218,493,131,308,235,644,96,102,1333,222,2243
570,1083,85,25,397,35,104,142,86,351,520,2066,221,123,897,481,129,332,233,716,92,68,1320,494,2238
382,1226,86,24,392,33,110,133,469,297,702,1909,220,127,1109,483,129,312,241,575,102,83,1023,217,2263
281,1120,87,25,392,33,102,121,132,297,516,1898,217,121,1326,486,131,344,321,644,93,111,542,245,2235
483,1063,86,24,391,33,101,108,87,286,516,1961,220,123,1233,484,129,345,237,636,96,56,904,220,2237
1029,1068,86,24,424,36,102,119,82,291,517,1921,219,121,1207,492,128,307,256,659,93,112,5569,234,2233
262,1051,87,24,392,34,101,7188,314,384,518,2000,248,123,1095,483,131,312,374,567,93,66,810,211,2244
292,1076,204,23,392,422,102,116,89,295,516,1970,219,124,1248,480,128,306,1561,674,333,58,5834,244,2248
256,1083,87,24,389,34,102,119,87,317,700,1940,270,135,1720,483,130,327,427,606,105,80,2570,252,2245
269,1058,85,26,397,32,102,147,84,351,518,1934,239,154,1601,476,128,308,317,573,91,62,1038,229,2246
257,1074,97,23,392,33,102,112,169,394,516,1932,217,122,1385,1113,128,306,322,592,93,85,540,537,2245
256,1057,86,25,398,241,102,42138,90,410,518,2000,220,122,1346,558,128,308,256,733,102,58,534,758,2241
260,1071,84,24,393,33,102,2344,83,301,517,1964,217,121,1460,475,128,308,288,602,96,57,1476,256,2302
266,1097,85,25,390,65,103,104,82,298,516,1981,216,151,1435,475,128,312,396,578,92,59,964,224,2251
281,1084,85,23,392,34,102,155,102,331,745,1938,217,125,1606,476,128,561,529,553,96,89,1122,329,2253
316,1240,107,24,406,33,101,102,82,332,517,1910,217,122,1439,475,130,308,304,672,92,56,541,491,2247
256,1076,85,24,393,33,103,105,83,327,517,1974,218,151,1243,479,130,307,381,600,99,98,536,506,2236
